PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Park Site on Blenheim,49.2555755124354,-123.178916179978,3500 Quadra St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=35
Park Site on Puget Drive,49.2477237282272,-123.168194740981,4309 Puget Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=4
Park Site on Quesnel Drive,49.2476038619505,-123.169939636945,4301 Quesnel Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=5
Park Site on Shaughnessy Street,49.2018126869968,-123.125689029694,Shaughnessy St And Fraser River,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Park Site on Trafalgar Street,49.2444438828763,-123.165144765361,4600 Trafalgar St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=9
Park Site on Trinity Street,49.2895586380293,-123.059460463155,2303 Wall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=61
Pioneer Place (Pigeon Park),49.281698528953,-123.104585842007,399 Carrall St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Point Grey Golf and Country Club (Private),49.2296669,-123.180145,3350 SW Marine Drive,
Point Grey Park Site at Stephens Street,49.272362,-123.166272,2699 Point Grey Road,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Point Grey Park Site at Trafalgar Street,49.2732355585892,-123.16465130289,2601 Point Grey Road,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Point Grey Park Site at Trutch Street,49.271652,-123.176163,3215 Point Grey Road,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Portal Park,49.2880367189159,-123.119140203115,1099 W Hastings St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=27
Price Park,49.240125948322,-123.02445135603,3650 Price St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=158
Prince Edward Park,49.2514863574743,-123.097647862599,3773 Prince Edward St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=166
Prince of Wales Park,49.244037635729,-123.15690721174,4780 Haggart St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=3
Quadra West Park,49.2571180211162,-123.180634950648,3250 Quadra St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=41
Queen Elizabeth Park,49.2409881193204,-123.113290899742,4600 Cambie St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=167
Quilchena Park,49.2437309686445,-123.148906952034,4590 Magnolia St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=6
Ravine Park,49.2418484451952,-123.155527031876,2159 W 36th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=7
Renfrew Community Park,49.2524249068635,-123.042958058734,2929 E 22nd Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Renfrew Ravine Park,49.2491158123339,-123.043436731521,3900 Renfrew St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=160
Riley Park,49.2416922650002,-123.104291617649,50 E 30th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=168
Riverfront Park,49.2057241105485,-123.050772491402,2750 E Kent Av South,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=197
Riverview Park,49.2123683745846,-123.147244920744,1751 W 66th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=127
Robson Park,49.2577320649568,-123.092303101177,599 Kingsway,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=140
